time_s,tau_cmd_0,tau_cmd_1,tau_cmd_2,tau_cmd_3,tau_cmd_4,tau_cmd_5,tau_cmd_6,tau_ext_0,tau_ext_1,tau_ext_2,tau_ext_3,tau_ext_4,tau_ext_5,tau_ext_6,q_state_0,q_state_1,q_state_2,q_state_3,q_state_4,q_state_5,q_state_6,dq_state_0,dq_state_1,dq_state_2,dq_state_3,dq_state_4,dq_state_5,dq_state_6
0.064034,-0.204681,0.404676,0.100981,0.001078,0.022198,0.080885,-0.014558,-0.008652,-0.600560,0.156138,0.073562,0.232380,-0.069234,0.076582,0.001860,-0.782713,-0.001077,-2.355917,-0.003707,1.576291,0.774437,0.000203,0.018131,0.000761,0.000158,0.000779,-0.000572,0.000477
0.064993,-0.204701,0.401889,0.104421,0.002572,0.022548,0.082616,-0.014463,-0.010194,-0.599633,0.153520,0.075910,0.231730,-0.067658,0.076245,0.001861,-0.782698,-0.001078,-2.355915,-0.003707,1.576293,0.774437,0.000417,0.016739,0.000438,0.000470,0.000254,-0.000223,0.000240
0.065968,-0.210026,0.401416,0.104713,0.001568,0.022261,0.083236,-0.014722,-0.011447,-0.596881,0.151543,0.077421,0.231090,-0.066093,0.075877,0.001858,-0.782677,-0.001079,-2.355917,-0.003709,1.576292,0.774436,-0.001084,0.018450,-0.000378,-0.000838,-0.000879,-0.000810,-0.000348
0.067087,-0.215025,0.404284,0.109419,0.001937,0.020937,0.084630,-0.015121,-0.011844,-0.594325,0.150944,0.079328,0.230576,-0.064466,0.075486,0.001859,-0.782657,-0.001078,-2.355915,-0.003708,1.576295,0.774436,0.000024,0.018968,0.000373,0.000311,-0.001409,-0.000274,-0.000233
0.068022,-0.216134,0.404761,0.108391,0.004096,0.017503,0.086812,-0.014762,-0.011903,-0.591976,0.151136,0.081224,0.230123,-0.062849,0.075084,0.001861,-0.782644,-0.001081,-2.355915,-0.003709,1.576293,0.774436,0.000709,0.017979,-0.000922,0.000124,-0.001002,-0.000323,0.000097
0.068975,-0.218975,0.400743,0.112887,0.003609,0.018793,0.086939,-0.015957,-0.012129,-0.588360,0.151513,0.082728,0.229668,-0.061229,0.074681,0.001859,-0.782628,-0.001078,-2.355920,-0.003704,1.576293,0.774433,-0.000229,0.018073,0.000441,-0.001794,0.001617,-0.001399,-0.001012
0.070015,-0.223629,0.402435,0.113932,0.002574,0.017153,0.087341,-0.015081,-0.012360,-0.585237,0.152033,0.085392,0.229262,-0.059461,0.074291,0.001859,-0.782602,-0.001081,-2.355919,-0.003710,1.576297,0.774437,-0.000325,0.020320,-0.000910,-0.001133,-0.000447,-0.000395,0.000991
0.071039,-0.226910,0.403656,0.116972,0.002509,0.016615,0.088786,-0.015788,-0.012323,-0.584115,0.153076,0.089127,0.228923,-0.057666,0.073932,0.001861,-0.782584,-0.001080,-2.355917,-0.003708,1.576298,0.774431,0.000325,0.019811,-0.000474,0.000028,0.000323,0.000437,-0.001214
0.072037,-0.227333,0.404274,0.119380,0.003999,0.016540,0.090301,-0.015711,-0.012197,-0.582905,0.154581,0.091811,0.228577,-0.056099,0.073616,0.001861,-0.782566,-0.001081,-2.355917,-0.003706,1.576298,0.774433,0.000321,0.019546,-0.001035,0.000262,-0.000019,0.000208,-0.000205
0.073069,-0.233609,0.407381,0.117751,0.002445,0.014829,0.092183,-0.016077,-0.011764,-0.580081,0.156799,0.092985,0.228256,-0.054761,0.073368,0.001858,-0.782546,-0.001083,-2.355920,-0.003710,1.576299,0.774433,-0.001037,0.019551,-0.001288,-0.001018,-0.000745,-0.000121,-0.000795
